@relation data_combine

@attribute Year numeric
@attribute 'Unit Name' {DMP,CMP,KMP,RMP,BMP,SMP,'Dhaka Range','Mymensingh Range','Chittagong Range','Sylhet Range','Khulna Range','Barisal Range','Rajshahi Range','Rangpur Range','Railway Range',GMP,RPMP}
@attribute Dacoity numeric
@attribute Robbery numeric
@attribute Murder numeric
@attribute 'Speedy Trial' numeric
@attribute Riot numeric
@attribute 'Woman & Child Repression' numeric
@attribute Kidnapping numeric
@attribute 'Police Assault' numeric
@attribute Burglary numeric
@attribute Theft numeric
@attribute 'Other Cases' numeric
@attribute 'Arms Act' numeric
@attribute Explosive numeric
@attribute Narcotics numeric
@attribute Smuggling numeric
@attribute 'Total Cases' numeric

@data
2018,'Khulna Range',4,4,37,0,0,99,2,2,7,36,544,13,3,814,20,1585
2018,'Barisal Range',2,3,16,2,0,86,3,2,16,23,378,1,0,363,0,895
2018,'Rajshahi Range',5,8,29,6,0,99,8,2,5,40,469,25,15,1166,134,2011
2018,'Rangpur Range',1,2,33,0,0,116,0,0,8,38,625,4,0,551,94,1472
2018,'Railway Range',0,1,2,0,0,0,0,0,0,5,9,0,0,55,12,84
2018,GMP,2,3,3,1,0,22,1,2,2,8,65,3,0,130,2,244
2018,RPMP,0,0,1,0,0,12,1,0,0,6,33,0,0,68,0,121
2019,DMP,20,103,218,202,7,1779,85,132,554,1197,5315,157,108,13638,115,23630
2019,CMP,2,71,70,80,0,350,7,21,92,267,1547,231,2,4260,44,7044
2019,KMP,6,9,25,19,0,248,4,6,35,50,443,25,4,1706,32,2612
2019,RMP,2,34,8,15,2,120,17,14,33,50,485,18,9,2021,189,3017
2019,BMP,1,8,16,4,0,89,7,4,32,46,388,11,1,921,4,1532
2019,SMP,5,18,32,60,3,120,6,12,25,101,669,13,0,301,15,1380
2019,'Dhaka Range',99,132,828,131,0,3598,123,95,360,973,12787,290,43,19646,197,39302
